segundo,N_PIV,N_CFD,MSE,RMSE,MAE
0,10,100,0.040797374004997236,0.20198359835639437,0.1944379414913555
1,10,100,0.008331629685421654,0.09127776117665054,0.09000689558579378
2,10,100,0.0011868410729272826,0.034450559834744085,0.033165576811820155
3,10,100,0.000227542849748724,0.015084523517457355,0.011587112953203783
4,10,100,0.00010291300117293085,0.010144604535068425,0.00908340814176656
5,10,100,0.0001852716765441949,0.013611453873271395,0.01223234835889071
6,10,100,0.0001371991630499953,0.011713204644758637,0.010095213426534563
7,10,100,0.0001098609042937336,0.010481455256486744,0.008638807230944423
8,10,100,0.000129304485057469,0.011371212998509394,0.009231674073481397
9,10,100,0.00018699739917871368,0.013674699235402352,0.011546976807453315
